ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
1,Petr,Cech,Arsenal,Goalkeeper,9,3.0,0,0,67,0,270,0,2.1,a
2,Bernd,Leno,Arsenal,Goalkeeper,0,0.0,0,0,0,0,0,0,1.6,a
3,Laurent,Koscielny,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.1,i
4,Héctor,Bellerín,Arsenal,Defender,7,2.3,0,1,58,0,270,0,12.2,a
5,Nacho,Monreal,Arsenal,Defender,11,5.5,1,0,41,0,180,0,1.5,a
6,Rob,Holding,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.6,a
7,Shkodran,Mustafi,Arsenal,Defender,3,1.0,0,0,47,0,270,0,1.2,a
8,Sead,Kolasinac,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.3,i
10,Konstantinos,Mavropanos,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.2,a
11,Stephan,Lichtsteiner,Arsenal,Defender,1,1.0,0,0,0,0,55,0,1.6,a
12,Sokratis,Papastathopoulos,Arsenal,Defender,2,0.7,0,0,36,0,270,0,1.9,a
13,Mesut,Özil,Arsenal,Midfielder,4,2.0,0,0,13,0,157,0,3.3,a
14,Aaron,Ramsey,Arsenal,Midfielder,4,1.3,0,0,24,0,165,0,1.1,a
15,Alex,Iwobi,Arsenal,Midfielder,11,5.5,1,1,46,0,119,0,1.7,a
16,Mohamed,Elneny,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,2.4,a
17,Granit,Xhaka,Arsenal,Midfielder,3,1.0,0,0,25,0,204,0,2.9,a
18,Henrikh,Mkhitaryan,Arsenal,Midfielder,16,5.3,1,1,56,0,270,0,20.2,a
19,Reiss,Nelson,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,0.7,a
20,Ainsley,Maitland-Niles,Arsenal,Midfielder,1,1.0,0,0,7,0,34,0,0.4,i
21,Danny,Welbeck,Arsenal,Forward,8,8.0,1,0,30,0,15,0,0.6,a
22,Alexandre,Lacazette,Arsenal,Forward,6,2.0,0,1,11,0,96,0,2.6,a
23,Pierre-Emerick,Aubameyang,Arsenal,Forward,6,2.0,0,0,13,0,254,0,14.6,a
450,Lucas,Torreira,Arsenal,Midfielder,3,1.0,0,0,22,0,99,0,1.5,a
451,Matteo,Guendouzi,Arsenal,Midfielder,5,1.7,0,0,49,0,235,0,3.3,a
24,Asmir,Begovic,Bournemouth,Goalkeeper,10,3.3,0,0,41,1,270,0,4.8,a
25,Artur,Boruc,Bournemouth,Goalkeeper,0,0.0,0,0,0,0,0,0,6.8,a
26,Simon,Francis,Bournemouth,Defender,5,2.5,0,1,20,0,35,0,0.4,a
27,Steve,Cook,Bournemouth,Defender,21,7.0,1,1,80,1,270,0,8.7,a
28,Charlie,Daniels,Bournemouth,Defender,8,2.7,0,0,42,1,270,0,13.6,a
29,Adam,Smith,Bournemouth,Defender,6,2.0,0,0,47,1,240,0,0.7,a
30,Tyrone,Mings,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,0.2,a
31,Nathan,Aké,Bournemouth,Defender,18,6.0,1,0,61,1,270,0,4.5,a
32,Jack,Simpson,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,5.1,a
34,Marc,Pugh,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.6,a
35,Andrew,Surman,Bournemouth,Midfielder,7,2.3,0,0,37,1,255,0,0.3,a
36,Junior,Stanislas,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
37,Dan,Gosling,Bournemouth,Midfielder,6,2.0,0,0,25,1,270,0,0.1,a
38,Jordon,Ibe,Bournemouth,Midfielder,1,1.0,0,0,3,0,26,0,0.3,a
39,Lewis,Cook,Bournemouth,Midfielder,2,1.0,0,0,8,0,15,0,0.3,a
40,Ryan,Fraser,Bournemouth,Midfielder,19,6.3,1,1,88,1,270,0,5.3,a
41,Emerson,Hyndman,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
42,David,Brooks,Bournemouth,Midfielder,7,2.3,0,0,23,1,207,0,0.2,a
43,Callum,Wilson,Bournemouth,Forward,22,7.3,2,3,62,1,270,0,14.1,a
