Entry,Name,Total points,Gameweek Points,Gameweek Hits,Rank,Last Rank,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Captain,V Captain,Bank amount,Team Value,Gameweek Transfers
2621075,Luke know nuffink,309,71,0,1,2,260,247,115,267,233,251,393,304,302,280,417,400,113,138,493,280,417,0.1,101.4,1
3590375,yibbida-yibbida,299,102,0,2,5442,468,115,262,357,162,253,251,459,164,280,480,47,45,182,93,280,253,0.0,100.9,0
2415205,Roxrite_89,293,96,0,3,5442,468,267,357,247,115,145,253,433,391,280,480,136,295,86,182,280,253,0.3,100.8,0
2633702,CF Robinson Machado,293,45,0,3,1,260,247,267,28,253,393,251,125,280,177,151,445,95,182,145,280,253,0.3,101.0,0
2702629,Niall Might Do It,293,69,0,3,22,282,72,357,267,253,251,393,433,480,280,45,422,150,145,52,280,253,0.4,100.8,1
582028,Harry’s Golden Boot,292,63,0,6,9,260,247,355,246,267,251,304,164,280,372,43,445,70,433,56,280,372,0.0,101.3,2
642529,Alonso,291,77,0,7,198,260,247,291,267,253,370,251,393,233,280,417,190,427,189,145,280,253,0.0,101.4,1
50908,R.U.P.E.,289,65,0,8,26,260,267,115,245,357,253,251,393,43,151,280,400,433,95,131,280,253,0.0,101.5,2
3144802,Mancunian Devils,289,54,0,9,3,154,267,115,247,253,251,393,433,151,177,280,24,459,145,95,280,253,1.5,100.2,0
2554389,高普朋友隊,288,64,0,10,26,468,357,267,72,115,251,459,433,253,437,280,454,265,304,189,280,267,2.1,99.0,2
3517112,Kebhali lou,288,79,0,10,542,351,291,267,355,433,225,251,276,45,151,280,24,295,116,27,280,295,0.2,100.9,0
12137,Legends team 96,288,70,0,12,78,468,115,267,157,393,253,125,297,391,45,280,329,151,28,141,280,253,0.1,101.2,1
3616421,AT239401,288,81,0,12,750,445,357,247,267,251,253,393,370,45,280,151,509,145,95,167,280,253,0.0,101.3,0
791003,WUUUUUUH!,287,64,0,14,32,490,262,267,286,247,302,393,433,257,280,151,468,295,138,475,280,295,0.0,101.4,1
2852523,Alvheim FC,286,55,0,15,4,282,267,247,142,276,253,164,18,393,151,280,24,138,189,27,280,253,0.0,101.2,0
2992849,Oddi,286,61,0,16,16,260,247,115,72,393,253,251,276,433,280,480,400,153,140,32,280,251,0.8,100.4,1
2575352,LTU,286,63,0,17,32,260,247,357,72,312,276,251,393,370,45,280,154,151,150,402,280,251,0.9,99.9,0
3369418,m saad,285,71,0,18,217,468,246,357,267,122,275,251,18,43,280,480,136,145,303,196,280,275,0.0,101.1,0
1889352,Ahmed,285,64,0,19,45,282,115,72,246,433,393,276,251,480,43,280,154,220,184,330,280,251,0.4,100.7,0
2217312,Caïds,285,70,0,19,183,445,247,267,220,251,276,393,253,417,280,43,400,459,95,145,280,253,0.5,101.1,0
2614408,Van The Man,284,75,0,21,484,24,247,115,90,357,253,393,251,433,280,480,47,478,258,423,280,253,0.0,101.2,0
