ID,First Name,Second Name,Team,Gameweek Pts,Gameweek price change,Gameweek net transfer,Fixture1,Fixture2,Fixture3,Fixture4,Fixture5,Total Difficulty,Average Difficulty
1,Petr,Cech,Arsenal,1,0,-1231,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
2,Bernd,Leno,Arsenal,0,-1,-3926,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
3,Laurent,Koscielny,Arsenal,0,0,-181,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
4,Héctor,Bellerín,Arsenal,0,0,-34851,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
5,Nacho,Monreal,Arsenal,0,0,-1608,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
6,Rob,Holding,Arsenal,0,0,-1056,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
7,Shkodran,Mustafi,Arsenal,8,0,1287,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
8,Sead,Kolasinac,Arsenal,0,0,-781,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
10,Konstantinos,Mavropanos,Arsenal,0,-1,-366,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
11,Stephan,Lichtsteiner,Arsenal,0,0,-5276,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
12,Sokratis,Papastathopoulos,Arsenal,1,0,-5755,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
13,Mesut,Özil,Arsenal,2,0,-7578,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
14,Aaron,Ramsey,Arsenal,2,0,-76,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
15,Alex,Iwobi,Arsenal,0,0,-9889,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
16,Mohamed,Elneny,Arsenal,0,0,-4186,"NEW,3","EVE,2","WAT,2","FUL,2","LEI,3",12,2.4
